months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
328,48,521585,OH,1000,1406.91,0,466132,MALE,craft-repair,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,1,2,YES,71610,6510,13020,52080,Saab,92x,2004,Y
134,29,687698,OH,2000,1413.14,5000000,430632,FEMALE,sales,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,N
256,41,227811,IL,2000,1415.74,6000000,608117,FEMALE,armed-forces,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y
228,44,367455,IL,1000,1583.91,6000000,610706,MALE,sales,unmarried,66000,-46000,Vehicle Theft,?,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N
256,39,104594,OH,1000,1351.1,0,478456,FEMALE,tech-support,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,0,2,NO,64100,6410,6410,51280,Saab,95,2003,Y
165,37,429027,IL,1000,1137.03,0,603195,MALE,tech-support,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,N
27,33,485665,IL,500,1442.99,0,601734,FEMALE,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N
447,61,214618,OH,2000,1137.16,0,615561,FEMALE,exec-managerial,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N
60,23,842643,OH,500,1215.36,3000000,432220,MALE,protective-serv,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N
121,34,626808,OH,1000,936.61,0,464652,FEMALE,armed-forces,wife,52800,-32800,Parked Car,?,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N
